komentar,label
"ponsel jurnalis tempo dirampas oknum jaksa ketika liputan info yang diterima 
 
 ada indikasi mengakses ponsel sang jurnalis secara ilegal 

hal itu mengafirmasi soal isu serangan digital yang akhir akhir ini menyasar jurnalis",1
"media harus bebas mengungkap penyalahgunaan kekuasaan tanpa takut dibungkam 
kalau jurnalis dibungkam siapa yang akan mengawasi para penguasa 
suara kita penting untuk menjaga demokrasi yuk kita kawal kebebasan pers 

 press
 literasimedia
 literasipemudaindonesia",0
ketua dewan pers kecam serangan bom molotov di kantor tempo ketua dewan pers bagir manan mengecam keras,1
disini banyak tikus mel haha,0
"hanya diberhentikan dr jabatan ketua mk tapi tetap jadi hakim 
 
 

jurnalis jurnalis oke zone minim literasi",0
dewan pers mengecam keras teror kepala babi dan tikus ke kantor tempo polisi diminta segera tangkap pelaku dan jamin kebebasan pers,1
kami bersama tempo kebebasan pers harus tetap ditegakan,1
ya allah lindungi jurnalis tempo tolong,1
mike white escale ele na pr xima temporada de white lotus ou serei for ada a come ar gossip girl agora que terminei voc sinto que n o o verei por um longo tempo e eu n o quero isso,2
kabareskrim polri komjen wahyu widada menegaskan pihaknya mengusut kasus teror kepala babi hingga bangkai tikus ke kantor tempo,1
adies kadir soal kepala babi dan bangkai tikus ke tempo jangan buruk sangka ke pemerintah,0
sekolah doang si dasco islamic bandung tapi dapat duit dari judi untuk nafkah kelurga nya eh giliran dibuka siapa dalangnya dia kirim kepala babi ke kantor tempo,0
"chef 
 
 cumannanya pickone jurnalis or chef",1
"kebebalan komunikasi hasan nasbi 

 posisi chicha sebagai jurnalis perempuan di media tempo yang kritis terhadap pemerintah membuat aparatus negara cenderung menyikapi teror dan intimidasi terhadapnya semata mata sebagai sesuatu yang sepele",0
banyak belajar tentang tan malaka dari hasan nasbi tapi ketika mengeluarkan statement tentang tempo kepala babi dimasak saja ck ck ironi ketika manusia diberikan jabatan,0
da onde saiu essa babi l grimas cad ro aafazenda,1
awalnya nanya dikirim apa lalu bilang soal yang dapat kiriman kak cica brarti sejak awal udah taulah kasus kepala babi ini wkwk bukannya empati malah tetep asbun hadeh,0
ya allah lindungilah jurnalis tempo,1
"puta que pariu eu n o quero fazer a vontade dessa crian a insuport vel que pensa que tudo no tempo dela 
me deixem em paz",2
kemungkinan tempo gak diajak karena laporannya yang kritis terhadap pemerintah terutama prabowo ada ketegangan ditambah ancaman seperti kiriman kepala babi ke kantor mereka prabowo mungkin pilih media yang lebih aman buat wawancara,0
mengintip gaji dan harta kekayaan kepala kantor komunikasi kepresidenan hasan nasbi yang menyarankan untuk memasak kepala babi teror ke tempo,1
"ternyata pak 
 
 keren juga 

bersama mahasiswa aktivis ikut serta dalam unjuk rasa penolakan pembredelan 
 
 di rezim soeharto orde baru

kini tempo mendapat ancaman teror kepala babi bangkai tikus di era prabowo

gimana menurut mu termul",0
"jika draft uu ini disyahkan maka akan mengebiri hak pers hak kita sebagai rakyat umum dlm berpendapat 

padahal semua tau hak investigasi adalah hak mahkota bagi insan pers dlm membongkar kasus apa saja besar maupun kecil 
bagi rakyat umum hak berpendapat akan dilarang 

ngeri",0
"kl nonton bocor alus sih pst ngerti 
jubir tp ga punya akses langsung ke presiden",0
media tv dibungkam ya gini pada gk tau pas ada sembako ya mangguk aja,0
bila dilihat sejarah aksi terorisme terhadap berbagai media yang pernah terjadi wuiihh ngeri mulai dari tempo kompas paling ganas dibantai oleh teroriame kalla itu sereemm gak pakai kode kepala babi atau tikus kantor media kompas yang langsung digeruduk,0
"perang wes ajor rt 
 
 dewan pers kecam serangan molotov ke kantor tempo",1
"media indo dibungkam klo gak ya takut 
 tolakruutni
 tolakruupolri
 tolakruukuhap",0
"iyo plastik tikus neh soh lala kwa plastik cica trus p rt pke plastik jo dg eh p 
 
 haha talalu besar p rt",0
kita hidup di era di mana ancaman terbesar bukan yg terlihat tapi yg kita undang sendiri ke dlm hidup kita narkoba dan sosial media bkn kekuatan yg tdk terkalahkan mrk adalah cerminan dari pilihan kita dan di situlah kekuatan kita berada,2
o tempo voa info,2
ketua dpr ri puan maharani meminta aparat penegak hukum untuk mengusut tuntas aksi teror berupa paket kiriman kepala babi dan bangkai tikus ke kantor media tempo puan menegaskan bahwa aksi teror seperti ini adalah ancaman serius terhadap kebebasan pers yang dijamin oleh,1
jurnalis korban kekerasan jadi aji terburuk sejak reformasi,0
friendly fire bjir,0
kepala kepolisian negara ri jenderal listyo sigit prabowo memerintahkan teror potongan kepala babi dan bangkai tikus di kantor redaksi tempo,1
bahlil laporkan narasumber tempo ke polisi lbh pers berbahaya bagi kebebasan pers temponasional,1
bareskrim polri usut pengirim kepala babi ke kantor tempo,1
tak gentar kantor diteror kepala babi hingga bangkai tikus tempo ini tindakan pengecut,0
wah gila sih kantor tempo bangkai tikus dikirim,0
udah diserang belomm soalnya kemarin aku lihat cuitan ada buzzer yang titah untuk nyerang indonesiagelap udah muncul alasan media nggak terlalu memberitakan ini soalnya kemarin prabw ngundang petinggi dan pemilik kantor berita buat makan bareng,0
"dan hal ini sudah mulai ditinggalkan oleh para jurnalis selain tempo 

respect buat tempo",0
gus falah desak pengusutan teror tempo mbak puan perjuangkan kebebasan pers pdiperjuangan,1
cuitan cuitan lainnya menunjukkan solidaritas kuat terhadap tempo kekhawatiran terhadap kebebasan pers serta kecaman terhadap upaya intimidasi yang dianggap sebagai ancaman serius terhadap demokrasi dan profesi jurnalis di indonesia,1
"artikel terbaru dari raihan muhammad 

 di indonesia praktik kekerasan terhadap jurnalisme kritis malah semakin sering terjadi peristiwa plg terbaru adl teror terhadap tempo yg wartawannya dikirimi kepala babi dan bangkai tikus hari berturut turut",0
sejumlah gangguan dialami jurnalis yang meliput skandal judi online di indonesia ada indikasi gangguan keamanan digital pada gawai yang dimiliki jurnalis tak hanya itu ada personel intelijen yang memotret rumah dan menanyai profil keluarga jurnalis bocoraluspolitik,1
berikut kronologi lengkap teror kepala babi yang dikirimkan kepada jurnalis tempo beberapa hari lalu,1
"dimas cebol rt 
 
 curut rt tikus rt 
 
 kecoa rt kucing rt 
 
 cica cont",0
passei dias sem querer colocar o p pra fora da minha casa esse tempo de chuva rid culo depois de um inverno de fucking meses ningu m aguenta mais,2
media tuh emang pengaruh besar biar orang orang melek makanya segitunya dibungkam liat aja di gaza jurnalis dijadikan target di indo semua media juga dipegang penguasa gak ada yang pro rakyat ya allah selamatkanlah kami semua,0
dalam wawancara prabowo dengan media besar jurnalisme independen dan media kritis seperti tempo paling tidak diuntungkan mereka dikecualikan dari acara menghadapi ancaman seperti intimidasi dengan tikus dipenggal dan kepala babi pada maret serta beroperasi di lingkungan,1
"selain bunganya yang lumayan cukup gede yaitu jt dcnya juga sangat tidak ramah 
 hari sebelum jatuh tempo di spam telpon sehari sampai x 
terlambat sehari langsung diancam akan didatangi diancam data akan di proses yg mempersulit kita suatu saat nanti ke bank",0
"en representaci n de la presidenta 
 
 la secretaria de gobernaci n 
 
 rodr guez asisti al funeral del papa francisco en el vaticano acompa ada por alberto barranco y clara luz flores",2
mau jadi chef kepala babi dan bangkai tikus gimana kasus teror ke majalah tempo sama kejadianna saat pengiriman kepala anjing ke habib bahar,0
"kantor tempo kembali diteror 
setelah kepala babi kini ditemukan bangkai tikus tanpa kepala di halaman kantor mereka apakah ini bentuk ancaman terhadap kebebasan pers polisi tengah menyelidiki 

 breakingnews investigasi tempo jurnalisme",1
"breaking hasan nasbi mengundurkan diri dari jabatan kepala kantor komunikasi presiden atau pco 

sebelumnya hasan nasbi sempat membuat geger akibat komentar dimasak saja terkait kasus pengiriman kepala babi kepada jurnalis tempo",1
"semua media dibungkam sedangkan media yang menentang mereka diancam anti kritik seakan buta dan tuli 

 tolakruutni tolakdwifungsiabri perempuanmelawan indonesiagelap tolakdwifungsitni tolakkembalinyaorba",0
tikus ngirimin tikus,0
semoga ditonton oleh seluruh masyarakat dunia agar semua orang tahu bahwa media televisi di indonesia dibungkam,0
kompak mengutuk serangan molotov ke kantor tempo via,1
"pov wni hari ke revisi uu tni disahkan 

 ribuan tni jagain gedung dpr
 represi aparat dalam aksi jakarta bandung dan lainnya
 teror kepala babi tikus ke tempo
 teror aparat malang ke massa aksi

tidak ada lebaran tahun ini bagi wni",1
"kasih keras mou 

bos as roma jose mourinho mengonfrontasi alessandro austini secara terbuka dalam sesi jumpa pers jelang lawan sampdoria 

jurnalis il tempo itu diketahui pernah mengkritik mou di radio 

 asroma seriea",1
belum dilarang kok kak adikku kerja live streaming dan masih kerja sampai saat ini kebijakan pemerintah untuk tiktok shop masih dalam tahap evaluasi kalo pun sudah ada hasilnya akan akan konfrensi pers semacamnya itu,1
kata tempo kau yang disuruh memakan otak kepala babi itu mumpung sudah dimasak mereka sebagaimana kau merespons pertanyaan awak media kau yang makan otak kepala babi itu ya,0
pengecut takut terkuak fakta sekarang malah tutup mulut jurnalis tempo semoga makin strong,0
ya allah bocor alus tempo mah telat wkwkwkw sby dah bilang jangan sampai matahari kembar di pemerintahan menteri yang harusnya jadi babu prabowo saban hari bolak balik ke solo gak perlu nunggu investigasi jurnalis wkwkwkwkk aneh lu semua,0
kalo tempo terus an diserang kek gino berarti udah jelas kan kenapa c mon,0
bos bukalapak sebut dana riset rp t jokowi sudah rp t,1
bisa tapi matek kan kami mesti liputan investigasi dan nulis juga kami jurnalis bukan wkwk tonton program yg lain juga dong,0
pagi ini di hidangkan dengan twitwar soal serangan kantor redaksi tempo yuhu,1
pernah sempat membahas gak pemilik media massa baik cetak maupun elektronik dilarang berpolitik jika dibiarkan berpolitik maka bisa dipastikan media massa tersebut melanggar netralitas pers sbg corong pemberitaan ke khalayak umum bahkan berpotensi hd media adu domba rakyat,0
semoga selalu sehat dan bisa memberikan sajian berita yang berkualitas ya min semoga tim bocor alus gak ada yang sampe bocor palanya huhu ngerii banget dah jurnalis tempo ini hih,2
dirumah e wes g ada tikus,0
ndasmu itu bukan makian ancaman ke media meskipun secara tdk langsung kebohongan melemahkan kpk bumn karya hancur di zaman mulyono menjadikan m jadi panutan penguasa sekarang rakyat itu perlu teladan itu mungkin yang menjadikan rakyat mulai muak ke penguasa,0
todung nilai serangan pada tempo teror atas pemberantasan korupsi kecaman atas pelemparan molotov pada kantor,1
"aku ada idee 

kirim bangkai tikus mirip sama yang dikirim otk di tempo tapi sasarannya pemeritah dan barak barak tni 

kita pake senjata mereka buat ancam",0
"mau dibungkam aparat atau media ngga peduli
demi orba ngga bangkit lagi
harus terus lawan",0
akademisi unpad dan praktisi hukum m z al faqih bilang teror kepala babi di tempo adalah ancaman nyata terhadap demokrasi dan kebebasan pers,1
"mungkin agar tidak menimbulkan tanya khalayak ramai

ada baiknya tempo rilis video cctv ketika paketan isi kepala babi dan tikus diberikan

agar bisa jadi bocor alus ke netizen dan viral dikejar netizen yang merangkap detektif",1
bikin malu almameter mahasiswa kalo ga kritis terus otaknya dipake buat apa toh x banyak isu politik gini karena media di tv bisa dikontrol sama pihak sono coba aja tv gabisa dibungkam dan nampilin fakta yg ada pasti orang juga maunya sambat doang di x,0
gaskan min tiap jurnalis tempo diberi kevlar vest,1
jancok bisa ga stop pk racun tikus,0
"emang mau media sosial yang paling kita jaga privasinya disadap gitu aja sama oknum oknum itu bersuara sekarang atau siap dibungkam 
 tolakruutni 
 tolakdwifungsitni 
 tolakkembalinyaorba 
 tolakkembalinyaorba 
 tolakruukuhap 
 tolakruupolri 
 peringatandarurat 
 indonesiagelap",0
yang nimpuk kaca mobil jurnalis tempo emang udah ketangkep orangnya,1
ular e g makan tikus makan rumput ilalang hara wkkwkkwkw,0
tempo sering mengkritik pemerintah dengan tajam menuduh penggunaan buzzer bayaran dan ancaman terhadap kebebasan pers namun apakah mereka sendiri bebas dari kepentingan media sebesar tempo tentu memiliki agenda dan publik semakin sadar akan hal ini,1
"ate pouco tempo atras era dado
parou tipo nos anos",2
ho deciso di uscire e risparmiarmi il secondo tempo arrivederci,1
"info 
 
el d a de ma ana se presentar bts en el evento waktu indonesia belanja de tokopedia

el evento ser transmitido
en vivo a las pm kst a trav s de youtube 

 

mxr 
cr tokopedia
 bts",1
polisi jerman tewas diserang saat demonstrasi anti islam tempodunia,1
kapolri minta kabareskrim usut teror kepala babi bangkai tikus ke kantor tempo,1
penduduk daehyeon dong korea selatan merayakan pesta babi panggang di lokasi pembangunan masjid sebagai bentuk penolakan,1
"disaat tempo diserang buzzer politik besar disitu ada kebenaran yang mau ditutupi wkwkwkwk
kalo yang kmaren aja mereka bisa dibayar apalagi ini wkwkwk",0
kantor media tempo mendapatkan kiriman kepala babi hingga bangkai tikus immanuel ebenezer selaku wamenaker mengutuk keras aksi tersebut,1
"lucia es molestosa no lo hace con la intenci n de herir otra gente capaz que si pero ella quiere a rosina son amigas y ya entendi despu s de la conversaci n que no es un humor que a rosi le gusta y no lo hizo m s 
estas eran ellas ayer parecen hermanas
 granhermano",2
gk di ajak krena si wowo takut dg pertanyaan tempo dg jurnalis dluar tempo aj kewalahan itu si wowo banyak blunder sekali aja gibranlah biar dibantuin jawabnya wokwokwowkw,0
openfollow akibat serangan orang tak dikenal kantor tempo berantakan jfb,1
rumah netanyahu diserang drone israel balas gempur besar besaran beirut,1
mengerikan kepala babi dan bangkai tikus tanpa kepala teror media tempo said iqbal buruh siap jaga tempo,0
cicak tokek tikus yg gtu dah,0
gw curiga awalnya mau ngirim full babi utuh eh di korup cuman makin kesini makin habis nyisa kepala doang eh yg kebagian kepala pengen juga ngambil bagian lah telinga nya kwkwkwkwk,0
"ih rame pa torang rt 
 
 nga kira nn p rt barame dgn tikus dgn cica noh rt",0
"wapemred tempo bagja hidayat sudah ketahui siapa peneror jurnalis bocor alus 

selengkapnya di open minded diskursus net 

 teror bocoralus tempo kepalababi openminded diskursusnetwork",1
ana rosa se despidi del papa francisco con el rosario que le bendijo y una carta ensalzando su legado no cre a en una iglesia cerrada como un castillo,2
di saat rakyat sudah di kasih makan gratis akirnya rakyat tidak boleh tahu kondisi darurat yang terjadi di beberapa kota televisi sudah dibungkam media sudah dikebiri yang kritis ditakuti dengan kepala b ini seperti operasi intelijen untuk meneror media yang masih kritis,0
bener kejadian kiriman kepala babi ke kantor tempo memang serem di indonesia babi haram dalam islam jadi ini provokasi buat intimidasi mungkin gegara laporan tempo yang sensitif maknanya emang bikin takut tapi pasti terkait tekanan ke media,0
"miris sedih lihatnya meskipun tidak ada di lokasi dimana pers dan media dibungkam kekerasan terhadap warga sipil pengacungan senjata bahkan hingga kekerasan pada tim medis 

uang rakyat dari rakyat kasih pejabat untuk menyakiti rakyat

 tolakuutni indonesiagelap",0
ya allah semoga kakak dan para jajaran tempo selalu di lindungi sedih di negara yang katanya demokrasi ini bahkan kebebasan pers pun di ganggu,0
"menurut pemimpin redaksi tempo sestri yasra pengirimnya dengan sengaja meneror kerja jurnalis dan jika tujuannya untuk menakuti kami tidak gentar tapi stop tindakan pengecut ini 
banyak netizen yang menganggap bahwa ini seperti ancaman terhadap kebebasan pers",0
hahaha masuk akal kan kak akal tikus,0
please maen juga lawan real madrid,0
"rt 
 
 dewan pers kecam serangan molotov ke kantor tempo",1
"semoga selalu dalam perlindungan tuhan terutama untuk para jurnalis tempo 

gg ya kuat bat sampe ngemention nama",2
kompak mengutuk serangan molotov ke kantor tempo w pedomannews com konserdukungtempo dukungtempo,1
breaking jelang pertandingan menghadapi chelsea extra time indonesia dan tiga media lainnya telah dilarang untuk menghadiri konferensi pers erik ten hag setelah berita berita yang mereka buat tentang manchester united musim ini,1
karena banyak yang bocor alus,0
tim medis diserang media dibungkam,1
ixi cheguei atrasada da tempo kk,1
essa hora semana passada eu tava come ando a tape ai se eu pudesse voltar no tempo,2
the irony,0
"sebut sufmi dasco di pusaran judi kamboja tempo dinilai menari di atas kebebasan pers 

majalah tempo mengemasnya dalam cover story kisah utama pada edisi april dengan headline tentakel judi kamboja",1
bela rakyat zaman mahathir media dikawal ketat dan pemimpin pembangkang dibungkam,0
"ngeliat tempo makin nggak jelas arah beritanya rasanya kayak ada yang nggak beres setiap masalah pasti ada yang diserang nggak pernah kasih solusi mediatempopengkhianatbangsa
pengkritiknyelekit dikontrolduit",0
aha dua permata kapolri perintahkan kabareskrim selidiki teror kepala babi bangkai tikus di kantor tempo,1
"memutuskan untuk berlanganan tempo 

semoga segenap direksi dan jurnalis dilindungi allah kebenaran adalah cahaya dan cahaya akan menemukan jalannya sendiri meskipun ia dalam pekatnya gelap gulita",2
kapal perusak inggris hms diamond yang diklaim diserang rudal houthi pulang ke portsmouth tempodunia,1
"jurnalis busuk bela cara busuk 

tempo jelas nulis memberangkatkan wartawan untuk investigasi judi online di kamboja cuma survei hotel yang ada kasino dan rekap siapa pemiliknya meski tau di sana legal 

apakah mereka juga pengelola judi online tempo pun ngga tau 

lalu tempo",0
valid ini ada post tempo hari mirip lah laki sedang menceritakan ibunya diserang juga dibilang laki gak bisa mewakilu perasaan perempuan lah ini perempuan mau mewakili perasaan semua perempuan tidak memperhitungkan faktor kedekatan emosi kekerabatan keluarga naif bgt,0
media besar diajak makan dan diwawancara media tempo dikirim kepala babi dan bangkai tikus,1
another berita soal detail pasal pasal ruu tni polri polisi bisa sadap hp warga kebebasan berpendapat dan berekspresi dibungkam ciri negara otoriter bukan demokrasi semoga makin banyak media yg terang terangan gini metro jg juga berani bgt krn oposisi,0
"netizen indonesia dibuat geram oleh statement juru bicara jubir istana kepresidenan hasan nasbi terkait heboh teror kepala babi yang dihadapi tempo rabu pukul wib 

berita lengkapnya di 

sumber",1
rill kak dia up yg bner urgent krn kalo media dibungkam kita ga bisa reach smua lapisan msy ttg ini,0
tempo serangan israel ke gaza tewaskan tiga jurnalis serangan udara israel terus menempatkan jurnalis dalam,1
diss jijik banget masa tikus kan gua udah pernah ngomong gua engga bakalan cerita tentang dia lagi septy d,0
"kepala babi udah sampai tapi pengirimnya belum ketemu 

 terortempo kepalababi tikus dukungkebebasanpers tempo",0
beraninya menggal tikus berani ga menggal koruptor,0
gue ngakak ga berenti ngetawain cica ngelem pake lem tikus,0
kamibersamatempo,1
tuitjakarta akibat serangan orang tak dikenal kantor tempo berantakan jakarta tuit,1
ya tempo kemungkinan besar pernah mempertimbangkan untuk melakukan klarifikasi terhadap berita yang salah sebagai anggota aliansi jurnalis independen aji tempo terikat pada kode etik yang mewajibkan koreksi segera atas berita yang tidak akurat reputasi mereka dalam,1
"enggak 
 
 tanyasimi kakak berani gak pegang tikus",0
plot twistnya ternyata yg ngirim tempo sendiri biar berita kekacauan makin memanas rakyat semakin geram terus demo semakin masif wkwkwk habis itu tempo datang dengan berita heroiknya wkwkwkwk wkwkwk,0
"dan 
 
 penting untuk anda secara terbuka mengecam serangan terhadap tempo seperti pengiriman kepala babi dan bom molotov demi solidaritas media dan kebebasan pers gunakan platform anda untuk menyoroti ancaman ini ajak media lain bersuara bersama",1
fungsi pers sbg pengontrol kekuasaan jadinya gmn dong ndut kalo jurnalistik investigasi dilarang aowkwok hadeh,0
pasrah tapi dibilangin pemerintahan ga beres media dibungkam dll tuh kek ga percaya ngeyel gitu loh ron taunya yang diberitain di tv doang karna ga main sosmed,0
sayang banget pass press conference jay park asian hits asian look nganggur kirain cuma jurnalis yang masuk ternyata boleh,0
"kotak berisi kepala babi tersebut ditujukan kepada cica di tempo cica adalah nama panggilan francisca christy rosana wartawan desk politik dan host siniar bocor alus politik 

kami bersama tempo
 peringatandarurat batalkanruutni kluivertout",0
"untuk taktik primary pake pake filosofinya sty pas lawan arab tempo hari ga pake krn udah coba di tim lain n ngerasain di tengah gmpg diputus 

enaknya ini strategi lawan ga akan kepikiran nyerang karena diserang terus 

 attack is the best defense",2
opis alone hu aneh so ja babunyi tenang itu kwa tikus da baklae deng cica,0
"tempo kembali mendapat kiriman bangkai tikus yg dipenggal 

bungkusan bangkai tikus dengan kepala dipenggal dilempar seseorang ke dalam area kantor 
 
 pukul wib maret 

ayo pak jubir 
 
 mau kasih pernyataan apa lagi
ini perbuatan hantu",0
"selama kita belum mencapai kemenangan total tetap rapatkan barisan dan bergerak maju 
jika media mainstream sudah dibungkam maka kalian semua adalah medianya tetap sebar informasi hingga terdengar oleh media internasional teruslah berisik 

 cabutuutni 
 tolakruupolri",0
"majikannya 
 
 diserang mulu di luar negri 
kagak kamu belain bang 
kan kamu dapat duit dari george soros juga lawan lah bang majikan di bully malah diem aja ini tempo",0
"jurnalis senior memberikan dukungan dan solidaritas kepada kantor tempo hal ini dalam menghadapi teror dan intimidasi berupa kiriman kepala babi dan bangk i tikus 

para jurnalis senior berkumpul di kantor tempo palmerah jakarta 

mereka memberikan dukungan penuh kepada",1
giat pers satlantas bersama pers dishub dan bptd melaks pemasangan rambu sementara dilarang parkir di badan bahu jalan dijalur perlintasan batu bara,1
"fico chocada o tempo s te valoriza

a as vil s tvgloboanos",1
habis kepala babi terbitlah bangkai tikus teror terhadap tempo ini tidak boleh dibiarkan lagi,0
tidak ada bukti george soros berinvestasi di majalah tempo kepemilikan tempo oleh pt tempo inti media tbk dengan pemegang saham seperti edwin soeryadjaya tidak menunjukkan keterlibatan soros meski begitu independensi tempo terancam oleh intimidasi baru baru ini seperti,1
setelah teror kepala babi tempo mendapat kiriman bangkai tikus yang dipenggal kantor redaksi tempo kembali mendapatkan kiriman bangkai hewan kali ini tikus dengan kepala yang dipenggal sabtu,1
semoga semua jurnalis tempo pada selamat dari marabahaya soalnya langsung hh sama kroninya jhl dengan rilis berita ini,1
bocor alus energi gua ngadepin orang orang ini,0
"liputan pers tentara pendudukan menggunakan senjata yang dilarang secara internasional terhadap warga sipil di jalur gaza yang terkepung 
 israelisis israelterrorism exposethehate genocidepalestine therealimage 
 israelfightsback 
 israelpalestineconflict",1
jurnalis peduli pemilu kutuk serangan ke kantor tempo poskotanews pemilu,1
"zulfikar akbar penulis dan pegiat media sosial 
 
 bersama seniman lain menyampaikan dukungan kepada tempo menyangkut teror kepala babi dan tikus ratusan seniman yang mendukung tempo yang perwakilannya datang langsung ke kantor media itu senin maret",1
meu p dio tbm durante um tempo depois vini subiu pro segundo lugar e vit ria terceiro,1
ya ini settingan biar masyarakat nganggepnya okelah kritik di media boleh kenapa harus capek demo lagian pemerintah dan aparat nunjukin demonstrasi sebagai ancaman kok dari kekerasan aparat smpek skeptis presiden mereka di tv ini emang settingan aja ada tugasnya masinglah,0
amiga do c u eu jurava q era a katy do alto santa isabel q cantou no hick esse domingo acho q estou passando tempo demais em casa amarela,2
apa standar gaji jurnalis tempo dibanding media nasional lain ada tunjangan khusus,1
"penguasa seakan lupa ad tuhan yg maha kuasa melihat mendengar mau dilarang diliput media massa dibungkam cctv dimatiin atau signal diblokir acak nanti saatnya kebenaran informasi terungkap tinggal nunggu waktu 
dan kekuasaan ada batasnya tidak ada yg abadi 

 selfreminder",0
inget banget kak nagita a raffi tuh di ftv tikus dan kucing mencari cinta terus warna warni cinta macaron mereka cocok banget y d,2
halo prabowo bilang teror kepala babi ke tempo buat adu domba tapi nggak jelas siapa yang dimaksud mungkin antara pemerintah dan media atau kelompok masyarakat soalnya babi sensitif di indonesia tempo memang kritis dan nggak diundang ke hambalang bisa nunjukin,0
tim bocor alus tempo kembali mendapatkan teror kali ini dikirimi kepala babi,1
media yang netral sedikit kak ya seperti tempo yang kemarin dikirimi kepala babi sama bangkai tikus,0
"dari org itu jg para ternak 
guoblok",0
teror berlanjut tempo dikirimi bangkai tikus tanpa kepala setelah insiden kepala babi,0
oh ini yg ngirimin kepala babi sama bangke tikus ke tempo,0
kmren sempet merasa drop berisik di sosmed krn ada satu influencer dg segala cocokloginy blg kalo ini semua tunggangan asing dan tempo kirim kepala babi sendiri ke crewnya skrg udah bodo amat,0
"ancaman serius kebebasan pers
teror kiriman paket berisi kepala babi dan bangkai tikus ke kantor redaksi tempo merupakan ancaman pada kebebasan pers demokrasi terancam ketika pers terancam 
baca di kompas",1
