komentar,sentimen
"kemarin kantor berita tempo yang di kirimi paket kepala babi 
hari ini tentara mulai masuk dan mengendalikan kampus sebegitu takutnya kah pemerintah pada jurnalis dan mahasiswa sampe harus repot mengintimidasi ruang publik",negative
"aliansi jurnalis independen atau aji indonesia mencatat setidaknya ada kasus kekerasan jurnalis yang terjadi dalam kurun waktu tahun terakhir terbanyak kasus kekerasan terjadi pada 

simak explained bayang bayang kekerasan selimuti jurnalis di yt tempodotco",neutral
fikrijufri fj tempomedia jurnalis jurnaliskarat sayabukanalcapone,neutral
"selama ada 
 
 tidak akan bisa menandingi integritas dan kecerdasan jurnalis tempo 

ade armando is a loser gelandangan politik yang hanya bisa menjilat sejak tidak dapat tenure dari universitas indonesia",negative
jurnalis tempo ketika oshinya graduate,neutral
"mengenang fikri jufri 

selamat jalan jurnalis karat karyamu akan selalu abadi selamanya 

 fikrijufri fj tempomedia jurnalis jurnaliskarat sayabukanalcapone",positive
"padahal selain pengamat akademisi jurnalis tempo di pojok jelasin dong juga menyindir mentan secara halus 

tapi hanya pengamat akademisi yg secara terbuka diserang",negative
pasti jurnalis tempo tdk di undang,negative
coba tunjukkan ke jurnalis tempo jgn kpd jurnalis abal,negative
kira seperti prabowo yg buat penjelasan dgn mengundak jurnalis dan media tanpa tempo yang nurut nurut aja,negative
panjang umur buat bang resa dan jurnalis tempo speak it louder,neutral
"halo admin tempo mimin diundang ke pemred jurnalis ga ya sama pak presiden 
 
 

nanya aja nih",neutral
"note 

kecurigaan gue masih sangat mungkin salah 

masih sangat mungkin admin indo ada orang yang beda dengan sverre dan dia beneran dapet ancaman 

dia beneran hubungi jurnalis tempo dan safenet 

jd kita tunggu klarifikasi lengkapnya dan tetep dengerin dengan telinga terbuka",negative
"dia jelasin klo dia dicegat di jalan dia udah punya anak dia masih wni jd dia khawatir keselamatan dia dan keluarganya 

dia jg bilang lagi tempuh jalur perlindungan hukum udh hubungi jurnalis tempo tp sambil nunggu bukti kuat dan pernyataan sverre minta hapus dulu",negative
"dan hal ini sudah mulai ditinggalkan oleh para jurnalis selain tempo 

respect buat tempo",negative
"wapemred tempo bagja hidayat sudah ketahui siapa peneror jurnalis bocor alus 

selengkapnya di open minded diskursus net 

 teror bocoralus tempo kepalababi openminded diskursusnetwork",neutral
pelaku dan motif teror terhadap jurnalis bocor alus tempo dibahas tuntas di siniar open minded ikuti diskusi mendalam bersama wapemred tempo bagja hidayat pengamat media makroen sanjaya dan jurnalis senior insan sadono tentang ancaman terhadap kebebasan pers dan demokrasi,neutral
maksud mu hanya karena tempo gak diundang terus mau dibilang jurnalis dan media zaman prabowo dibungkam,negative
"sepakat mba 

 kaki pemerintah itu sdh menginjak kebebasan pers teror ke tempo blacklist tempo o prabowo peraturan polisi yg membatasi jurnalis asing ruu penyiaran 

apakah para pemred menunggu sampai pers benar diinjak oleh kaki",negative
"ekspresi mbak jurnalis bikin salfok 

siapa yang mengirim kepala babi ke tempo",negative
susah bang harus jadi jurnalis tempo dulu,negative
untung aja bod sekarang mantan jurnalis tempo sama yg satu emang ahli bidangnya tercengang pas ngasih speech sama kerjanya kalo yg atas lom tau bgt ya,positive
gue pengen jadi jurnalis deh keren banget gak si ngespill pejabat goblok dan ngubek info dari ordal h keren bgt bismillah tempo,positive
fun fact kedua adalah seputar wawancara prabowo dengan jurnalis yang legit jadi lullaby gue rabu kemarin gue kira tempo tuh diundang tapi nolak eh ternyata emang ngga diundang dari awal culun,negative
ya allah bocor alus tempo mah telat wkwkwkw sby dah bilang jangan sampai matahari kembar di pemerintahan menteri yang harusnya jadi babu prabowo saban hari bolak balik ke solo gak perlu nunggu investigasi jurnalis wkwkwkwkk aneh lu semua,negative
jurnalis tempo yg pinter riset lagi difokusin ke isu dalam negri kayaknya ya sampe bikin judul bodoh begini padahal perfilman negara itu ga pernah mati apalagi butuh international market wkwkwk,negative
"kebebalan komunikasi hasan nasbi 

 posisi chicha sebagai jurnalis perempuan di media tempo yang kritis terhadap pemerintah membuat aparatus negara cenderung menyikapi teror dan intimidasi terhadapnya semata mata sebagai sesuatu yang sepele",negative
suka banget sama penulisan tempo tentang yeri di sini keliatan jurnalis handal,positive
"ga masuk nalar 
kenapa tempo ga fokus saja kepada kedua anggota fkdm itu dan menerangkan tujuannya 

anggota fkdm pasti ada dikelurahan loh 

lagipula kalo itu anak esai nya bagus kenapa ga kalian rekrut saja dia agar menjadi jurnalis tempo 

dasar hukum fkdm kuat",positive
rada oot sih tapi random banget semalem aku mimpi temanku ada yang kerja di tempo padahal temanku gaada yang ambil jurusan yang selaras dengan jurnalis wkwk,negative
"menurut sekretaris jenderal aliansi jurnalis independen aji bayu wardhana tren kayak gini memang sering muncul di momen momen sensitif 

entah itu karena kebijakan kontroversial dari pemerintah atau karena ada ekspos media soal isu isu yang gak enak buat pihak tertentu",neutral
terlintas dipikiran kenapa teror kepala babi dan tikus sampai sekarang yg terlihat sangat mudah diurus tapi belum terungkap tetapi jurnalis tempo bisa menyelidiki kasus judi online sampai ke kamboja,negative
"siaran pers 

komite keselamatan jurnalis seran\gan digital ke tempo adalah pembungkaman kebebasan pers

komite keselamatan jurnalis kkj mengecam keras serangan digital berupa distributed denial of service ddos kepada portal berita tempo 

 utas",neutral
ternak seperti lu kagak bakal faham jurus jurnalis bagian lu dikasi bansos langsung manut oh ia sekilat info buat lu tempo sudah kritis dari zaman pak harto sampai saiki mkn zaman itu lu masih berupa cairan yg dinamakan spermatozoit,negative
belum ada kabar yang menyebut jurnalis tempo mendapat tekanan dari pemilik media tempo dimiliki pt tempo inti media tbk perusahaan publik dengan kepemilikan terdistribusi yang cenderung mengurangi tekanan internal baru baru ini jurnalis tempo menghadapi intimidasi eksternal,neutral
pernah denger kabar kalo jurnalis tempo dapat pressure dari pemilik media,neutral
beneran ga sih ada jurnalis tempo yang jadi anggota parpol jangan sampe deh,negative
sulit menentukan pasti apakah redaksi tempo didominasi jurnalis senior atau junior karena data spesifik tidak tersedia namun pimpinan seperti arif zulkifli yang bergabung sejak menunjukkan kehadiran jurnalis berpengalaman di level atas tempo juga aktif melatih jurnalis,positive
redaksi tempo sekarang didominasi jurnalis senior atau anak muda yang belum pengalaman,neutral
ya tempo memiliki program fellowship untuk jurnalis investigasi program ini dimulai pada memilih jurnalis per siklus untuk investigasi selama bulan dengan pelatihan dan pendampingan hasil investigasi dipublikasikan oleh tempo program ini bekerja sama dengan,neutral
apakah media tempo punya program fellowship buat jurnalis investigasi,neutral
saya belum mendengar rumor yang bisa dipercaya soal jurnalis tempo dapat amplop dari oposisi berdasarkan informasi yang ada sampai april tidak ada bukti kredibel yang mendukung klaim ini tempo memang sedang hadapi serangan ddos tapi ini terkait laporan mereka soal judi,negative
apakah jurnalis tempo pernah dapat ancaman karena liputan tertentu,neutral
media tempo tidak memiliki program fellowship khusus untuk penulis dari daerah terpencil namun mereka menawarkan program seperti fellowship jurnalisme investigasi yang terbuka untuk semua jurnalis indonesia termasuk dari daerah terpencil tempo institute juga menyediakan,neutral
ada investigasi keren dari komunitas jurnalis muda yang ngebongkar modus tempo,neutral
saya belum pernah mendengar rumor yang menyebutkan jurnalis tempo menerima amplop dari pengusaha tempo dikenal dengan standar jurnalisme etis dan independen sering kali mengungkap kasus korupsi tidak ada bukti kredibel yang mendukung klaim tersebut berdasarkan informasi yang,negative
pernah denger rumor kalo jurnalis tempo ada yang dapat amplop dari pengusaha,neutral
tidak ada bukti resmi bahwa jurnalis tempo dilarang meliput isu tertentu namun mereka menghadapi tekanan besar seperti serangan siber ddos terutama setelah laporan sensitif seperti judi online intimidasi fisik seperti pengiriman kepala babi juga menciptakan ketakutan,negative
gaji rata rata jurnalis tempo diperkirakan sekitar juta idr per bulan berdasarkan data umum jurnalis indonesia tapi angka pasti sulit dipastikan soal independensi gaji rendah bisa membuat jurnalis rentan terhadap tekanan luar seperti suap atau pengaruh pemilik media,neutral
bener nggak kabar bahwa jurnalis tempo dilarang meliputi isu isu tertentu,neutral
isu tentang tekanan pengiklan pada jurnalis tempo belum ada bukti kuat yang ditemukan tempo dikenal sebagai media independen dengan sejarah jurnalisme investigatif sejak bahkan pernah dibredel di era suharto meski begitu tekanan finansial dari,neutral
rubrik sepak bola dikelola oleh jurnalis olahraga profesional bukan fans tempo memiliki tim jurnalis terlatih seperti nurdin saleh yang menjadi juri fifa ballon d or sejak pendekatan mereka terstruktur dan konsisten sesuai dengan standar,positive
"ikuti tips berikut untuk menghindari serangan digital 

pelajari lebih banyak soal keamanan risiko dan dan ancaman di ranah digital maupun fisik untuk jurnalis masyarakat umum di",neutral
tempo institute punya platform baru yang menyediakan perbagai materi belajar terkait keamanan risiko dan dan ancaman di ranah digitail maupun fisik untuk jurnalis masyarakat umum,neutral
serangan dan intimidasi terhadap jurnalis dan media semakin marak terjadi baik dalam bentuk kekerasan fisik hingga ancaman digital,negative
ilustrasi yang tempo buat selalu menarik alesan gue pengen banget jadi jurnalis ya memang karena tempo,positive
berdialog sama jurnalis tempo berani ngga,neutral
ya tempo kemungkinan besar pernah mempertimbangkan untuk melakukan klarifikasi terhadap berita yang salah sebagai anggota aliansi jurnalis independen aji tempo terikat pada kode etik yang mewajibkan koreksi segera atas berita yang tidak akurat reputasi mereka dalam,neutral
berdasarkan informasi yang ada sepertinya tempo tidak punya program beasiswa khusus untuk jurnalis muda di tempo institute memang menawarkan pelatihan seperti kursus jurnalistik intensif selama bulan plus magang serta fellowship jurnalisme investigasi sejak tapi,neutral
apa benar ada program beasiswa dari tempo buat jurnalis muda,neutral
kira kira berapa usia rata rata jurnalis tempo lebih muda atau senior senior,neutral
belum ada info publik yang pasti soal jurnalis tempo dikirim pelatihan ke luar negeri di dari situs dan pt freeport indonesia gak ada bukti soal ini tempo emang ngadain pelatihan jurnalisme lokal tapi bukan ke luar negeri dana pelatihan kalo,negative
pernah nggak tempo kirim jurnalis undercover buat peliputan resiko hukumnya gimana tuh,neutral
apakah tempo pernah terlibat dalam skandal berita palsu ini menjadi perhatian serius bagi para jurnalis,neutral
"ya tempo pernah menerima kritik dari jurnalis lain seperti pada saat mereka terbitkan konten sponsor dari pt freeport indonesia ini memicu debat etika jurnalisme dengan beberapa jurnalis seperti 
 
 dan 
 
 mengecamnya sebagai pelanggaran integritas",negative
ya tempo kemungkinan pernah dikritik jurnalis lain terutama soal hubungannya dengan pt freeport indonesia kritik publik di media sosial seperti di x menyoroti dugaan konten sponsor yang melemahkan independensinya namun bukti kritik langsung dari jurnalis lain sulit,neutral
tidak ada data resmi soal sistem penilaian kinerja jurnalis tempo namun debat di x menunjukkan ketegangan antara klik komersial dan kualitas etik kontroversi iklan freeport memicu kritik bahwa prioritas klik bisa melemahkan,neutral
apakah tempo pernah menerima kritik dari jurnalis lain ini menunjukkan bahwa mereka tidak selalu diterima dengan baik,negative
sistem penilaian kinerja jurnalis tempo itu berdasarkan klik berita atau kualitas,neutral
"such an entp trait mending masuk tempo dan jadi jurnalis di sana biar dapet various challenges if you re brave enough 

atau join mate ya dik ya yg deket aja dulu",positive
kabarnya nih ada jurnalis tempo yang keluar karena beda persepsi sama manajemen faktanya,neutral
standar gaji jurnalis tempo di diperkirakan rp juta rp juta per bulan sejalan dengan rata rata jurnalis indonesia tapi data spesifik tidak tersedia dibanding media nasional lain sulit dipastikan karena minim informasi tunjangan khusus mungkin ada seperti,neutral
apa standar gaji jurnalis tempo dibanding media nasional lain ada tunjangan khusus,neutral
tidak ada info publik yang mengonfirmasi jurnalis tempo dilarang ikut pelatihan jurnalisme dari pemerintah klaim ini tampaknya belum terverifikasi dan kemungkinan salah karena kurangnya bukti tempo dikenal independen tapi tidak ada kebijakan spesifik soal pelatihan pemerintah,negative
assu ini mau ngeledek jurnalis tempo,negative
tempo sudah dari oleh goenawan mohammad th an ud kritis pemerintah dari jaman orba ud begitu jadi jurnalis independen blon kenal tempo dia blon lahir,negative
gk di ajak krena si wowo takut dg pertanyaan tempo dg jurnalis dluar tempo aj kewalahan itu si wowo banyak blunder sekali aja gibranlah biar dibantuin jawabnya wokwokwowkw,negative
pernah nggak tempo kirim jurnalis ke zona konflik,neutral
ya benar ada program pelatihan jurnalisme warga oleh tempo pada maret tempo mengadakan pelatihan di merauke papua selatan tepatnya pada dan maret program ini bertujuan meningkatkan keterampilan menulis dan memberi akses publik jadi jurnalis warga info lebih,neutral
bener nggak kabar bahwa jurnalis tempo dapat pelatihan khusus dari organisasi asing,neutral
bahasa query nya indonesia jadi saya jawab dalam bahasa yang sama berdasarkan riset nggak ada bukti publik yang bilang banyak jurnalis tempo itu mantan aktivis kiri tempo emang dikenal kritis dan independen jadi mungkin ada yang nganggep mereka condong ke kiri tapi ini beda,negative
bener nggak sih jurnalis tempo banyak yang mantan aktivis kiri,negative
"yayasan karyawan tempo 
jurnalis tempo menyebut dirinya karyawan bukan pekerja apalagi buruh 
aku hehe gapapa kan prof",negative
ya punya program khusus untuk isu yang hilang dari publik yaitu investigative journalism online class oleh tempo institute bekerja sama dengan free press unlimited program ini melatih jurnalis untuk meliput topik yang kurang diperhatikan sesuai dengan,neutral
media tempo punya program fellowship seperti fellowship jurnalisme investigasi sejak terbuka untuk jurnalis indonesia termasuk dari daerah tertinggal meski tidak khusus untuk daerah tertinggal kolaborasi dengan cso bisa mendukung,neutral
apakah media tempo punya program fellowship untuk jurnalis dari daerah tertinggal,neutral
kecuali jurnalis dari tempo,neutral
tempo emang sering kritik pemerintah jokowi kayak soal dinasti politik dan korupsi misalnya cover pinocchio sama edisi khusus tahun jokowi tapi bilang pembenci kayaknya terlalu simpel mereka lebih ke jurnalis independen yang suka usut kekuasaan bukan cuma benci,negative
"momen uni lubis ngatur tempo dan merendahkan nada bicaranya setelah melihat si dia mulai emosional main tunjuk ninggiin nada was a brilliant situation read

lagi nunjukkin betapa susahnya jadi jurnalis di rezim ini",negative
sulit kasih screenshot postingan menfess yang provokasi doxing karena cepat dihapus akun sering kena suspend di x apalagi di doxing di indonesia serius sering targetkan jurnalis aktivis seperti kasus tempo atau topskor safenet menfess diduga,negative
sbnrnya prabowo sdh faham kebijakn dn kegaduhan ini hulunya dri dia tpi sbg pmbuat kamuflase dia mnyingkap diri seolah trbuka dn demokratis mengundang jurnalis tpi minus tempo yg kerap kritis hslnya apa malah dia yg defensif dn resisten mnjwb pertnyaan jurnalis benefitnya apa,negative
"bagus apanya 
bawannya emosi melulu sampai jurnalis nahan diri 
kl memang jago knp media tempo tidak berani diundang 
preet",negative
jurnalis tempo termasuk gaa,negative
simak liputan kolaborasi garapan bersama dan tempo yang tergabung dalam klub jurnalis investigasi kji,neutral
"dialog terbuka sekitar jam lebih akan lebih seru jika tempo ikut itu akan ada feed back terlepas dari jurnalis tsb sudah kritis 

 soal mbg gaya komunikasi yg kurang dari pembantunya presiden ps mengakui itu tidak tepat perlu evaluasi 

 soal ruu tni dll",negative
"abang 
 
 masih ingat dgn pertanyaan saya ini 

mungkinkah pelakunya bagian dari mereka yang ditelanjangi kejahatannya oleh jurnalis tempo",negative
israel menyerang tenda tenda di luar dua rumah sakit besar di jalur gaza pada ahad malam menurut laporan petugas medis pada senin april serangan itu menewaskan sedikitnya dua orang termasuk seorang jurnalis lokal,neutral
kalau gak mau nonton full buzzer gak akan mau langsung lompat ke menit mereka jelaskan sudah coba kontak utk konfirmasi tp tidak ada respon tempo itu beda ya sama buzzer mereka jurnalis tentu punya data dan investigasi,negative
"kalo doanya nih ambil contoh 
 
 cica jurnalis tempo oh tuhanku ku izin kan ngentot ama cica hingga mengeluarkan sperma ke rahim dan vagina 
 
 cica amen",neutral
putu setia kini dikenal sebagai ida pandita mpu jaya prema ananda adalah mantan jurnalis yang beralih menjadi pendeta hindu bali lahir april di tabanan bali ia pernah bekerja di majalah tempo dan menulis buku seperti menggugat bali sekarang ia mendirikan,neutral
mengundang jurnalis tapi ga ngundang tempo yg selama ini jadi target operasi,neutral
jurnalis tempo moment,neutral
beliau bkn hanya ketua harian dpp gerindra tapi wakil ketua dpr ri alibi status beliau sbg haji org soleh akan lebih valid bila investigasi jurnalis tempo tsb diuji di sidang pengadilan sbg delik aduan beliau hrs gugat balik suka tdk suka beliau adalah wakil rakyat,negative
"upcoming topik tangisan mabok zalfa 
 ihsg anjlok
 rupiah melemah
 dwifungsi tni polri
 jurnalis tempo diteror
 dasco bandar judol
 gibran jalan jalan ke singapura di saat kayak gini",neutral
maaf kalau kurang jelas dari wawancara prabowo dengan jurnalis senior pada april di hambalang dia bahas revisi uu tni ruu polri yang bakal diawasi ketat intimidasi media seperti kasus kepala babi di tempo komunikasi pemerintah yang dia bilang kacau sampe isu,negative
hallah bacot doang ente woo dlm kenyataannya ketika ketemu dgn pers jurnalis tempo gak diundang pdhl tempo majalah besar dgn pembaca yg paling banyak gak usah lah presiden maen drama akuin aja pmberitaan tempo bikin gerah istana lgian siapa pula yg mngirim babi kl bkn kel pem,negative
tolong bgt deh tempo wkwkw bagus sih jurnalis begini tapi takut bgt backingannya harus lebih superior dari rezim sekarang,negative
jurnalis dari tempo diundang atau tidak,neutral
urunan buat jurnalis tempo beli rompi anti peluru,neutral
sehat sehat jurnalis tempo you have a special place in my heart,positive
ya kondisi pemberitaan di indonesia memang mengkhawatirkan meski belum separah myanmar berdasarkan data indonesia di peringkat dunia soal kebebasan pers turun dari di dengan ancaman hukum dan serangan pada jurnalis meningkat seperti kasus intimidasi tempo,negative
jurnalis bukan youtuber yach tp klean jago jg tuch ngeyoutubenya anggap aj request itu sbg penghargaan utk karya jurnalistik tempo tuntutan multitask jurnalis biar makin semangat,positive
tempo itu ibaratnya adalah kumpulan jurnalis dengan idealisme yg ingin terus menyampaikan berita fakta dan itu membuat mereka cukup berjarak dengan realisme bahwa mereka masih perlu hidup bahwa mereka masih ditunggu pulang ke rumah tetap semangat tim tempo,positive
video prabowo sebut teror kepala babi ke jurnalis tempo untuk adu domba,neutral
ya ada bukti bahwa media di indonesia pada menghadapi tekanan dari rezim laporan seperti dari rsf dan freedom house menunjukkan intimidasi dan pembatasan hukum terhadap jurnalis insiden seperti ancaman pada majalah tempo dengan tikus dan kepala babi menambah kekhawatiran,negative
wawancara presiden prabowo dengan jurnalis senior pada april adalah langkah positif untuk interaksi media membahas isu krusial seperti uu tni dan ekonomi namun dalam situasi sekarang with ancaman terhadap kebebasan pers seperti intimidasi ke tempo maret lalu dan,neutral
"gak tertarik nonton interview prabowo dengan para jurnalis tapi tempo gak diajak itu 
dikira buat begitu naikin kepercayaan publik 
siarin live undang media yang jelas jelas kena teror baru gue tonton",negative
yang nimpuk kaca mobil jurnalis tempo emang udah ketangkep orangnya,neutral
pendapat saya insiden intimidasi ke tempo dengan kepala babi dan tikus mati menunjukkan ancaman serius terhadap kebebasan pers di indonesia data menunjukkan peningkatan kekerasan terhadap jurnalis kasus di soal buzzers mereka mungkin memperkeruh situasi,negative
eh di ig gtu loh kak mana pda ngomong settingan atau gk mereka komen mana jurnalis tempo hrusnya ditonton dlu mana jawabannya kbnykn ngawur,negative
soal teror kepala babi ke tempo mengecewakan melihat presiden prabowo lebih sibuk cuci tangan dengan narasi adu domba daripada menunjukkan ketegasan melindungi kebebasan pers kasus intimidasi jurnalis bukan hal sepele yang bisa dikesampingkan apalagi dijadikan bahan,negative
jurnalis tempo gak dilibatkan krn gak laku uang prabowo ya,negative
"tempo terimakasih saya sebagai awam hanya bisa bantu subscribe berlangganan koran tempo membership youtube tempo hal receh seperti rt atau share 
nah mngapa sy merasa hal diatas msh blm cukup atau sebanding dg resiko jurnalis yg sangat kompeten di tempo kami bsa bntu apa lg",positive
"bukan senyap karena itu liputan eksklusif investigasi ga etis kalo media lain up juga hasil kerjaan tempo ke dapur masing 

media lain bisa up isunya ya pas langsung ketemu dasco lewa doorstop sisanya tinggal doi gimana jawab si jurnalis",negative
ttep lebih ada value nya nonton tempo timbang dengerin dia yapping tempo jurnalis istana,positive
wawancara presiden prabowo dengan jurnalis senior pada april tampaknya belum sepenuhnya jelaskan atau selesaikan semua isu respons defensifnya terutama saat ditanya najwa shihab soal teror kepala babi di tempo dan kebebasan pers menunjukkan ketegangan meski bahas isu,neutral
kpn yh jadi jurnalis tempo,neutral
ini fucked up banget karena teror kepala babi dan tikus mati ke kantor tempo jelas intimidasi serius buat jurnalis kejadian ini nunjukin ancaman nyata buat kebebasan pers di indonesia apalagi di era prabowo simbol babi di negara mayoritas muslim bikin tambah parah plus data,negative
itu merujuk ke wawancara presiden prabowo dengan jurnalis termasuk najwa shihab di hambalang pada april bahas topik kayak revisi uu tni yang bikin demo teror kepala babi tempo kasus masa lalu dan isu pemerintahan acara informal tapi penting buat,neutral
jurnalis tempo selalu dilindungi aamiin,positive
masuk ke menit kedua jurnalis pertama menanyakan pertanyaan jawabannya ngalor ngidul dulu dan menurut gue gak cukup menjawab ada flexing dan mention presiden presiden sebelumnya yang gue rasa gak perlu perihal kepala babi yang dikirim ke tempo dan respons orang,negative
"ya keknya pertanyaan kritis tuh sengaja diinterupsi kalau udah ada pertanyaan yang membahayakan atau menjerumuskan langsung diberhentiin sama moderator wakakaka 

sekali lagi mungkin ini kenapa tempo gak diundang bisa bisa jurnalis tempo diselak mulu sama moderator",negative
doi ngundang jurnalis yg terafiliasi dengan mereka bahan semua udah di planning jadi ya sat set aman coba ngundang tempo yg ga terafiliasi kaga ada nyali kan,negative
selama sembilan hari jurnalis tempo mengunjungi kota sihanoukville dan poipet yang menjadi sentra judi darat di kamboja warga indonesia dan warung yang menjual penganan nusantara berhamburan di dua daerah itu nama seorang elite partai mencuat,neutral
ditunggu episode wawancara dengan jurnalis media cetak siapa tau tempo diajak,neutral
jurnalis tempo tuh lagi minta bayaran ke bos bos judol tapi ga dikasi makanya diterbitkan tuh berita,negative
rencana kalo gak dikasih restu buat hadi sutradara mau jadi jurnalis tempo aja,negative
presiden prabowo subianto merespons soal teror kepala babi yang dialamatkan kepada jurnalis tempo menurutnya respons dimasak aja yang disampaikan oleh kepala kantor komunikasi presiden adalah ucapan yang teledor,neutral
jaringan internasional tempo kuat asli dulu ada koalisi jurnalis sedunia buat ngusut dan publist kasus panama papper wakil indo di kasus itu cuma tempo,neutral
jurnalis dari tempo mana,negative
jurnalis tempo itu rumahnya sampai ditungguin intel sementara jurnalis lain diundang ke istana indonesiagelap indonesiagelap,neutral
anjrit tempo berani bgt gilak angkat topi saya sehat dan semoga selamat ya buat jurnalis jurnalis pemberani kita semoga dedikasi kalian terbayarkan,positive
"intan yg keluar dari mulut anjing sekalipun tetap intan ketika memang itu benar sudah kami uji benar bahkan ketika datang dari orang yg dianggap paling sinting sekalipun kalau terkait kepentingan publik ya beritakan 

 stefanus pramono
host bocor alus politik jurnalis tempo",negative
"pertanyaannya 
 kenapa hanya jurnalis ini bukankah ke media ini sudah mendapat belanja iklan dari bumn 
 kenapa tempo tidak diajak serta",negative
subscribe tempo gih mayan bantuin jurnalis tempo biar ga diculik sm wowok,neutral
"semangat dan aman selalu jurnalis jurnalis tempo 

 batalkanruutni supremasisipil",positive
"beberapa waktu lalu kantor redaksi tempo diteror dengan kiriman kepala babi ini jadi salah satu isu yang dibahas dalam wawancara jurnalis dengan presiden prabowo subianto di hambalang 

lalu apa kata prabowo 

jawaban selengkapnya nonton youtube najwa shihab sekarang ya",neutral
ada space yang cukup buat jurnalis tempo padahal biar lebih padet pasti seru kalo ada jurnalis tempo pengen tahu mereka kalo didepan orangnya langsung bisa kritis kaya tulisan sama bocor alus pasti bakalan lebih seru btw mbak nana baru keliatan lagi,positive
tidak salah kalau tempo minta bayar atau langganan buat konten jurnalistik ini praktik umum di media termasuk di indonesia biar bisa bayar jurnalis dan tetap independen banyak media besar kayak the new york times juga pakai paywall walau ada yang bilang berita harus gratis,positive
"barusan berlangganan 
 
 sebagai bentuk support 

semangat selalu para jurnalis dan semua tim tempo 
semoga selalu diberi kesehatan dan kegigihan menguak kebenaran di negeri ini 

i love you",positive
gosip di dalam istana aja tau apalagi siapa pengirim kepala babi di kandangnya sendiri pasti juga tau jurnalis tempo itukan jurnalis terbaik yg selalu dpt info dari narasumber terpercaya yg kadang atau sering tdk mau disebutkan namanya jgn mahkluk super dari dimensi lain,positive
semoga para jurnalis tempo selalu dikuatkan hatinya dan sehat selalu,positive
engga nyangka gw udh ditahap tiap sholat ikut nyempil doain jurnalis tempo biar aman panjang umur,positive
eh terus ada juga yang jurnalis kerennya itu yang sampe diculik terus diancem ngingetin sama tempo lol,negative
